#TimeStamp(inmicroSec);Age;Anger;Contempt;Disgust;Engagement;Fear;Joy;Sadness;Surprise;Valence;Attention;Browfurrow;BrowRaise;Cheekraise;Chinraise;Dimpler;Eyeclosure;Eyewiden;InnerBrowraise;Jawdrop;Lidtighten;Lipcornerdepressor;Lippress;Lippucker;Lipstretch;Lipsuck;Mouthopen;Nosewrinkle;Smile;Smirk;Upperlipraise;Pitch;Roll;Yaw;Id
6852;0;0.001970;0.192690;0.429850;0.082251;0.004475;0.001824;0.023977;0.194893;0.000000;98.745964;0.003311;0.082133;0.029090;0.067148;0.018130;0.000000;0.000051;0.008586;0.361828;0.011656;0.012677;0.063242;0.008675;0.018181;0.005522;0.006405;0.002591;0.000000;0.000206;0.000002;-0.575577;0.108184;-0.169086;0
6916;0;0.001972;0.192691;0.430051;0.082402;0.004478;0.001825;0.023982;0.194757;0.000000;98.783539;0.003735;0.071197;0.043375;0.081850;0.021577;0.000000;0.000046;0.008644;0.355499;0.012143;0.012369;0.068913;0.009225;0.018939;0.005493;0.006231;0.003154;0.000000;0.000197;0.000002;-0.215619;-0.640477;0.015063;0
6978;0;0.001971;0.192690;0.430198;0.082508;0.004479;0.001825;0.023999;0.194704;0.000000;98.614929;0.003351;0.066319;0.057852;0.064513;0.012332;0.000000;0.000048;0.008016;0.353414;0.011444;0.013431;0.032571;0.006653;0.016237;0.003853;0.006364;0.002770;0.000000;0.000195;0.000002;-0.089610;-1.144304;-0.672652;0
7040;0;0.001972;0.192689;0.430069;0.082375;0.004471;0.001825;0.023996;0.194885;0.000000;98.778046;0.003087;0.064143;0.096736;0.079600;0.015419;0.000000;0.000040;0.006887;0.405214;0.013123;0.014681;0.037671;0.007485;0.013958;0.003289;0.006823;0.003131;0.000000;0.000193;0.000002;-0.505477;-1.151720;0.037902;0
7118;0;0.001972;0.192687;0.430022;0.082316;0.004466;0.001825;0.023997;0.195021;0.000000;98.674522;0.002851;0.067593;0.091259;0.075731;0.018494;0.000000;0.000044;0.006830;0.430851;0.011749;0.018443;0.033791;0.007603;0.012487;0.003797;0.006834;0.004028;0.000000;0.000177;0.000002;0.263926;-1.104929;-0.449732;0
7181;0;0.001974;0.192691;0.430419;0.082675;0.004470;0.001825;0.024002;0.194873;0.000000;98.624252;0.003816;0.063097;0.106353;0.093295;0.020438;0.000000;0.000033;0.006341;0.408077;0.011538;0.018215;0.029924;0.007177;0.012740;0.004503;0.006440;0.003671;0.000000;0.000168;0.000002;0.313233;-0.872506;-0.638414;0
7243;4;0.001973;0.192690;0.430306;0.082568;0.004473;0.001825;0.023992;0.194866;0.000000;98.679779;0.003572;0.072798;0.075527;0.101839;0.014090;0.000000;0.000041;0.006879;0.380810;0.011763;0.017270;0.040813;0.007015;0.012246;0.004084;0.006297;0.003866;0.000000;0.000163;0.000002;-0.270290;-0.977163;-0.429622;0
7304;4;0.001972;0.192688;0.429937;0.082259;0.004472;0.001824;0.023997;0.194892;0.000000;98.555809;0.003217;0.074064;0.042924;0.095531;0.013394;0.000000;0.000041;0.007655;0.382114;0.010645;0.017207;0.028999;0.007893;0.011875;0.003379;0.006583;0.003386;0.000000;0.000162;0.000002;-0.475421;-1.416892;-0.884638;0
7368;4;0.001972;0.192687;0.430137;0.082438;0.004478;0.001825;0.024004;0.194709;0.000000;98.688103;0.002920;0.065572;0.028494;0.079557;0.012000;0.000000;0.000046;0.007878;0.355247;0.009489;0.016881;0.022222;0.007927;0.011785;0.002911;0.006570;0.002810;0.000000;0.000170;0.000002;0.487547;-0.989122;-0.397559;0
7446;4;0.001971;0.192689;0.430191;0.082468;0.004472;0.001825;0.024002;0.194902;0.000000;98.743225;0.003203;0.072745;0.030275;0.072066;0.008827;0.000000;0.000044;0.007631;0.387875;0.010272;0.014967;0.015638;0.010165;0.012410;0.002609;0.006698;0.003070;0.000000;0.000188;0.000002;-0.607726;-1.109202;-0.180149;0
